Date,Raw_Text,Amount,Type,Manual_Category
2025-09-01,A debit of Rs 500.00 at Swiggy via UPI Ref 1234.,500.00,DEBIT,Food/Groceries
2025-09-01,A debit of Rs 150.00 at Uber Ride Ref 9876.,150.00,DEBIT,Transport
2025-09-02,Salary credited to A/C XXXXXX. Amount: 55000.00.,55000.00,CREDIT,Income
2025-09-03,Paid Rs 15000.00 for Rent via NEFT. Ref 6543.,15000.00,DEBIT,Rent/Housing
2025-09-03,A debit of Rs 899.00 at Netflix Subscription.,899.00,DEBIT,Entertainment
2025-09-04,Shopping at Amazon for 3200.00. Ref 5432.,3200.00,DEBIT,Shopping
2025-09-04,Groceries paid Rs 1200.00 at Grofers.,1200.00,DEBIT,Food/Groceries
2025-09-05,Ola payment of 220.00. Ref 3456.,220.00,DEBIT,Transport
2025-09-05,Electricity Bill payment of 1800.00.,1800.00,DEBIT,Bills/Utilities
2025-09-06,Received 5000.00 from client. Ref 2345.,5000.00,CREDIT,Income
2025-09-07,ATM Withdrawal 1000.00.,1000.00,DEBIT,Other
2025-09-07,Movie tickets 450.00.,450.00,DEBIT,Entertainment
2025-09-08,Payment to Flipkart: Rs 2500.00.,2500.00,DEBIT,Shopping
2025-09-08,Zomato order for 450.00.,450.00,DEBIT,Food/Groceries
2025-09-09,Metro Card Recharge: 300.00.,300.00,DEBIT,Transport
2025-09-10,House Cleaning Service 500.00.,500.00,DEBIT,Other
2025-09-11,Vodafone Bill 799.00.,799.00,DEBIT,Bills/Utilities
2025-09-12,Swiggy order of 320.00.,320.00,DEBIT,Food/Groceries
2025-09-13,Grofers payment of 950.00.,950.00,DEBIT,Food/Groceries
2025-09-14,Uber payment of 180.00.,180.00,DEBIT,Transport
2025-09-15,Received cash 2000.00.,2000.00,CREDIT,Income
2025-09-15,A debit of Rs 499.00 at Spotify.,499.00,DEBIT,
2025-09-16,Paid Rs 1200.00 at Local Market.,1200.00,DEBIT,
2025-09-17,A debit of Rs 80.00 for Bus ticket.,80.00,DEBIT,
2025-09-18,A debit of Rs 6500.00 for EMI Payment.,6500.00,DEBIT,
2025-09-19,A debit of Rs 250.00 for Pizza Hut.,250.00,DEBIT,
2025-09-20,Transfer of 1500.00.,1500.00,DEBIT,
2025-09-21,Online Shopping payment of 500.00.,500.00,DEBIT,
2025-09-22,Movie night at PVR: 550.00.,550.00,DEBIT,
2025-09-23,Jio Fiber Bill paid 999.00.,999.00,DEBIT,